ADDRESSES,SEQUENCE
211 S EL CAMINO REAL STE C,"[['DIGIT'],  ['DIR'], ['ARTI'], ['ALPHA'], ['ALPHA'], ['APT'], ['LETTER']]"
812 W EL CAMINO REAL,"[['DIGIT'],  ['DIR'], ['ARTI'], ['ALPHA'], ['ALPHA']]"
17259 WILD HORSE CREEK RD,"[['DIGIT'], ['ALPHA'], ['ALPHA'], ['ALPHA'], ['WAY']]"
12587 FAIR LAKES CIR STE 141,"[['DIGIT'], ['ALPHA'], ['ALPHA'], ['WAY'], ['APT'], ['DIGIT']]"
3201 NEW MEXICO AVE NW STE 246,"[['DIGIT'], ['ALPHA'], ['ALPHA'], ['WAY'], ['DIR'], ['APT'], ['DIGIT']]"
111 RIO RANCHO BLVD SE,"[['DIGIT'], ['ALPHA'], ['ALPHA'], ['WAY'], ['DIR']]"
28 black watch way,"[['DIGIT'], ['ALPHA'], ['ALPHA'], ['WAY']]"
5500 lost tree,"[['DIGIT'], ['ALPHA'], ['ALPHA']]"
8690 EDGE OF TEXAS,"[['DIGIT'], ['ALPHA'], ['ARTI'], ['ALPHA']]"
4401 LOOP 322,"[['DIGIT'], ['ALPHA'], ['DIGIT']]"
177 montague e,"[['DIGIT'], ['ALPHA'], ['DIR']]"
487 RITCHIE HWY B102,"[['DIGIT'], ['ALPHA'], ['WAY'], ['ALNUM']]"
206 ELMHURST DR APT F15,"[['DIGIT'], ['ALPHA'], ['WAY'], ['APT'], ['ALNUM']]"
366 RAILROAD AVE LOT 31,"[['DIGIT'], ['ALPHA'], ['WAY'], ['APT'], ['DIGIT']]"
3200 SISK RD STE C,"[['DIGIT'], ['ALPHA'], ['WAY'], ['APT'], ['LETTER']]"
2584 US HIGHWAY 80 W,"[['DIGIT'], ['ALPHA'], ['WAY'], ['DIGIT'], ['DIR']]"
655 COUNTY ROAD 1300,"[['DIGIT'], ['ALPHA'], ['WAY'], ['DIGIT']]"
43 HUDSON AVE # 2,"[['DIGIT'], ['ALPHA'], ['WAY'], ['POUND'], ['DIGIT']]"
