Address, Sentence,sequence,max_branch,markers,all_branches,keepers
" 24-32 laburnum road , "," Location: Land between 24-32 Laburnum Road, Limeside, Oldham, OL8 3PD Proposal: Minor Material Amendment to planning permission granted under PA/337108/15 for revised balustrade detail to the rear of plots 3, 4 and 5 "," [['DIGDASH', 'ADR_HEAD'], ['ALPHA'], ['WORDWAY'], ['COMMA']] "," [[3, 7, 4, ['_ADDRESS_'], '24-32 laburnum road ,']] "," [[3, 4, 1, ['_SUITE_'], '24-32'], [3, 5, 2, ['_ADDRESS_'], '24-32 laburnum'], [3, 6, 3, ['_ADDRESS_'], '24-32 laburnum road'], [3, 7, 4, ['_ADDRESS_'], '24-32 laburnum road ,'], [11, 12, 1, ['_SUITE_'], 'ol8'], [32, 33, 1, ['_SUITE_'], '3'], [34, 35, 1, ['_SUITE_'], '4'], [36, 37, 1, ['_SUITE_'], '5']] "," [[[3, 4, 1, ['_SUITE_'], '24-32']], [[3, 5, 2, ['_ADDRESS_'], '24-32 laburnum']], [[3, 6, 3, ['_ADDRESS_'], '24-32 laburnum road']], [[3, 7, 4, ['_ADDRESS_'], '24-32 laburnum road ,']], [[11, 12, 1, ['_SUITE_'], 'ol8']], [[32, 33, 1, ['_SUITE_'], '3']], [[34, 35, 1, ['_SUITE_'], '4']], [[36, 37, 1, ['_SUITE_'], '5']]] "," [[[3, 5, 2, ['_ADDRESS_'], '24-32 laburnum']], [[3, 6, 3, ['_ADDRESS_'], '24-32 laburnum road']], [[3, 7, 4, ['_ADDRESS_'], '24-32 laburnum road ,']]] "
" a two storey rear extension "," Location: 3 Worsley Street, Oldham, OL8 2DE Proposal: Erection of a two storey rear extension Applicant: Mr Abbass 3 Worsley Street Glodwick Oldham OL8 2DE Registration Date: 14/12/2017 Chadderton South Application No: HH/341210/18 Expected Decision Level: Development Control Delegation Location: 48 Princess Road, Chadderton, OL9 9PR Proposal: 1) First floor front and rear extension 2  "," [['LETTER', 'COMMONST'], ['ALPHA', 'ADR_HEAD'], ['ALPHA'], ['ALPHA'], ['ALPHA', 'STRUCTURE']] "," [[12, 13, 1, ['_SUITE_'], 'a'], [13, 17, 4, ['_ADDRESS_'], 'two storey rear extension']] "," [[1, 2, 1, ['_SUITE_'], '3'], [1, 3, 2, ['_ADDRESS_'], '3 worsley'], [1, 4, 3, ['_ADDRESS_'], '3 worsley street'], [1, 5, 4, ['_ADDRESS_'], '3 worsley street ,'], [7, 8, 1, ['_SUITE_'], 'ol8'], [12, 13, 1, ['_SUITE_'], 'a'], [13, 15, 2, ['_ADDRESS_'], 'two storey'], [13, 16, 3, ['_ADDRESS_'], 'two storey rear'], [13, 17, 4, ['_ADDRESS_'], 'two storey rear extension'], [20, 21, 1, ['_SUITE_'], '3'], [20, 22, 2, ['_ADDRESS_'], '3 worsley'], [20, 23, 3, ['_ADDRESS_'], '3 worsley street'], [25, 26, 1, ['_SUITE_'], 'ol8'], [31, 32, 1, ['_DIR_'], 'south'], [42, 43, 1, ['_SUITE_'], '48'], [42, 44, 2, ['_ADDRESS_'], '48 princess'], [42, 45, 3, ['_ADDRESS_'], '48 princess road'], [42, 46, 4, ['_ADDRESS_'], '48 princess road ,'], [48, 49, 1, ['_SUITE_'], 'ol9'], [51, 52, 1, ['_SUITE_'], '1'], [51, 53, 2, ['_ADDRESS_'], '1 first'], [53, 55, 2, ['_SUITE_'], 'floor front'], [57, 59, 2, ['_SUITE_'], 'extension 2'], [58, 59, 1, ['_SUITE_'], '2']] "," [[[1, 2, 1, ['_SUITE_'], '3']], [[1, 3, 2, ['_ADDRESS_'], '3 worsley']], [[1, 4, 3, ['_ADDRESS_'], '3 worsley street']], [[1, 5, 4, ['_ADDRESS_'], '3 worsley street ,']], [[7, 8, 1, ['_SUITE_'], 'ol8']], [[12, 13, 1, ['_SUITE_'], 'a'], [13, 17, 4, ['_ADDRESS_'], 'two storey rear extension']], [[12, 13, 1, ['_SUITE_'], 'a'], [13, 16, 3, ['_ADDRESS_'], 'two storey rear']], [[12, 13, 1, ['_SUITE_'], 'a'], [13, 15, 2, ['_ADDRESS_'], 'two storey']], [[13, 15, 2, ['_ADDRESS_'], 'two storey']], [[13, 16, 3, ['_ADDRESS_'], 'two storey rear']], [[13, 17, 4, ['_ADDRESS_'], 'two storey rear extension']], [[20, 21, 1, ['_SUITE_'], '3']], [[20, 22, 2, ['_ADDRESS_'], '3 worsley']], [[20, 23, 3, ['_ADDRESS_'], '3 worsley street']], [[25, 26, 1, ['_SUITE_'], 'ol8']], [[31, 32, 1, ['_DIR_'], 'south']], [[42, 43, 1, ['_SUITE_'], '48']], [[42, 44, 2, ['_ADDRESS_'], '48 princess']], [[42, 45, 3, ['_ADDRESS_'], '48 princess road']], [[42, 46, 4, ['_ADDRESS_'], '48 princess road ,']], [[48, 49, 1, ['_SUITE_'], 'ol9']], [[51, 52, 1, ['_SUITE_'], '1']], [[51, 53, 2, ['_ADDRESS_'], '1 first'], [53, 55, 2, ['_SUITE_'], 'floor front']], [[53, 55, 2, ['_SUITE_'], 'floor front']], [[57, 59, 2, ['_SUITE_'], 'extension 2']], [[58, 59, 1, ['_SUITE_'], '2']]] "," [[[1, 3, 2, ['_ADDRESS_'], '3 worsley']], [[1, 4, 3, ['_ADDRESS_'], '3 worsley street']], [[1, 5, 4, ['_ADDRESS_'], '3 worsley street ,']], [[12, 13, 1, ['_SUITE_'], 'a'], [13, 17, 4, ['_ADDRESS_'], 'two storey rear extension']], [[12, 13, 1, ['_SUITE_'], 'a'], [13, 16, 3, ['_ADDRESS_'], 'two storey rear']], [[12, 13, 1, ['_SUITE_'], 'a'], [13, 15, 2, ['_ADDRESS_'], 'two storey']], [[13, 15, 2, ['_ADDRESS_'], 'two storey']], [[13, 16, 3, ['_ADDRESS_'], 'two storey rear']], [[13, 17, 4, ['_ADDRESS_'], 'two storey rear extension']], [[20, 22, 2, ['_ADDRESS_'], '3 worsley']], [[20, 23, 3, ['_ADDRESS_'], '3 worsley street']], [[42, 44, 2, ['_ADDRESS_'], '48 princess']], [[42, 45, 3, ['_ADDRESS_'], '48 princess road']], [[42, 46, 4, ['_ADDRESS_'], '48 princess road ,']], [[51, 53, 2, ['_ADDRESS_'], '1 first'], [53, 55, 2, ['_SUITE_'], 'floor front']]] "
" a two storey rear extension "," Alexandra Application No: HH/339830/17 Expected Decision Level: Development Control Delegation Location: 3 Worsley Street, Oldham, OL8 2DE Proposal: Erection of a two storey rear extension & rear dormer "," [['LETTER', 'COMMONST'], ['ALPHA', 'ADR_HEAD'], ['ALPHA'], ['ALPHA'], ['ALPHA', 'STRUCTURE']] "," [[22, 23, 1, ['_SUITE_'], 'a'], [23, 27, 4, ['_ADDRESS_'], 'two storey rear extension']] "," [[11, 12, 1, ['_SUITE_'], '3'], [11, 13, 2, ['_ADDRESS_'], '3 worsley'], [11, 14, 3, ['_ADDRESS_'], '3 worsley street'], [11, 15, 4, ['_ADDRESS_'], '3 worsley street ,'], [17, 18, 1, ['_SUITE_'], 'ol8'], [22, 23, 1, ['_SUITE_'], 'a'], [23, 25, 2, ['_ADDRESS_'], 'two storey'], [23, 26, 3, ['_ADDRESS_'], 'two storey rear'], [23, 27, 4, ['_ADDRESS_'], 'two storey rear extension']] "," [[[11, 12, 1, ['_SUITE_'], '3']], [[11, 13, 2, ['_ADDRESS_'], '3 worsley']], [[11, 14, 3, ['_ADDRESS_'], '3 worsley street']], [[11, 15, 4, ['_ADDRESS_'], '3 worsley street ,']], [[17, 18, 1, ['_SUITE_'], 'ol8']], [[22, 23, 1, ['_SUITE_'], 'a'], [23, 27, 4, ['_ADDRESS_'], 'two storey rear extension']], [[22, 23, 1, ['_SUITE_'], 'a'], [23, 26, 3, ['_ADDRESS_'], 'two storey rear']], [[22, 23, 1, ['_SUITE_'], 'a'], [23, 25, 2, ['_ADDRESS_'], 'two storey']], [[23, 25, 2, ['_ADDRESS_'], 'two storey']], [[23, 26, 3, ['_ADDRESS_'], 'two storey rear']], [[23, 27, 4, ['_ADDRESS_'], 'two storey rear extension']]] "," [[[11, 13, 2, ['_ADDRESS_'], '3 worsley']], [[11, 14, 3, ['_ADDRESS_'], '3 worsley street']], [[11, 15, 4, ['_ADDRESS_'], '3 worsley street ,']], [[22, 23, 1, ['_SUITE_'], 'a'], [23, 27, 4, ['_ADDRESS_'], 'two storey rear extension']], [[22, 23, 1, ['_SUITE_'], 'a'], [23, 26, 3, ['_ADDRESS_'], 'two storey rear']], [[22, 23, 1, ['_SUITE_'], 'a'], [23, 25, 2, ['_ADDRESS_'], 'two storey']], [[23, 25, 2, ['_ADDRESS_'], 'two storey']], [[23, 26, 3, ['_ADDRESS_'], 'two storey rear']], [[23, 27, 4, ['_ADDRESS_'], 'two storey rear extension']]] "
"  "," Business Services in Oldham, Lancashire Browse Business Services in Oldham, Lancashire featuring photos, videos, special offers and testimonials to help you choose the right local Business Services for you "," [] "," [] "," [] "," [] "," [] "
"  "," Find out how much your property is worth in OL8 with PrimeLocation's free tool "," [] "," [] "," [[9, 10, 1, ['_SUITE_'], 'ol8']] "," [[[9, 10, 1, ['_SUITE_'], 'ol8']]] "," [] "
"  ","  See historical sold prices and estimates of the current value "," [] "," [] "," [] "," [] "," [] "
"  "," Habitat are pleased to bring to market a two bedroom END terraced property located close to Oldham Town centre in a popular residential area "," [] "," [] "," [[7, 8, 1, ['_SUITE_'], 'a'], [20, 21, 1, ['_SUITE_'], 'a']] "," [[[7, 8, 1, ['_SUITE_'], 'a']], [[20, 21, 1, ['_SUITE_'], 'a']]] "," [] "
"  ","  The property does require some upgrading/modernisation but offers real potential with a realistic asking price "," [] "," [] "," [[11, 12, 1, ['_SUITE_'], 'a']] "," [[[11, 12, 1, ['_SUITE_'], 'a']]] "," [] "
"  ","  Featuring; vestibule, lounge, LARGE kitchen, TWO bedrooms and bathroom "," [] "," [] "," [] "," [] "," [] "
