,address1
195,& DECOR CENTER LLC 750 SOUTH 13TH STREET
127,0-794 CHICAGO DRIVE
313,1 BRUSSELS STREET
837,1 EAGLE SQUARE
733,1 JFK STREET
473,1 ODELL PLAZA
500,1 RENAISSANCE PL UNIT 911
465,1 SUNSET DRIVE NORTH
298,10 ASHLAND ST
432,10 CHARLOTTE STREET
447,10 SOUTH MAIN STREET
140,100 S GLOCHESKI
182,100 SUNSET THOMPSON
904,1000 LINWOOD STREET
819,1001 SE WATER AVE STE 350
796,10096 HART AVE
920,101 FEDERAL ST. STE 1400
824,"101 MAIN ST, 14TH FL"
34,101-22 45TH AVENUE
71,1010 SANDHILL AVE
693,10101 W WINDSOR BLVD
863,1013 W UNIVERITY AVE SUITE 150
390,10212 CHESTERTON DRIVE
251,1022 N WESTERN ISLAND
896,1029 S CLAREMONT STREET
252,10366 COUNTRY HORN
921,10389 OLD PLACERVILLE RD
826,104 E FREDRICKS ST
891,1040 TULUNE AVENUE
336,10400 W. HIGGINS ROAD
245,10511 FM 1960 RD
77,1060 E SPRINGFIELD RD
371,1060 EAST MONTAGIE AVENUE NORTH
335,1065 AVENUE OF THE AMERICAS
629,107 ROCKY MEADOW STREET
747,107 SKILLMAN STREET SUITE 7B
112,108 FLORIDA AVE
589,"1080 N. BATAVIA ST, UNIT B"
611,1085 LYELL AVE
831,10850 E TRAVERSE HWY SUITE 5595
282,10850 SE FULLER ROAD
72,10911 W HWY 55 # 201
601,1094 N OLD US 27 PO BOX 186
366,10961 CHICAGO DR
621,10A MANOR PARKWAY
24,11 ROUNDABOUT DRIVE
306,11 TECHNOLOGY DR
513,110 AMBER CREEK DRIVE
839,110 KOALA COVE
481,1100 N CHICAGO AVE
816,1100 VERMONT AVENUE NW
276,1101 MELBOURNE RD SUITE 3037
146,1101 N RADDANT ROAD
787,11041 VANOWEN ST.
721,1108 W ELDORADO ST
803,111 CENTER PARK DRIVE STE 210
25,111 ORION ST
137,1112 EAST BERKS ST.
453,1114 S 11TH STREET
883,1119 HEMPHILL AVE
40,112 SOUTH MAIN STREET # 227
829,1121 18TH ST
743,113 E MAIN ST
699,113 MYRTLE ST
166,1138 HAMILTON NW
412,114 WEST BOYLSTON STREET
784,115 EAST GRACE STREET
192,1154 ROUTE 22 WEST
228,116 WEST 23RD STREET. # 500
716,11600 N RODNEY PARHAM RD
440,11625 SPRING CYPRESS RD UNIT B
670,1170 NORTH LINCOLN ST STE 105
834,11705 WEST PICO BLVD
67,1173 S CROCKER ST
317,11767 KATY FRWY # 410
201,"118 E. HOSPITAL, STE 203"
92,118-B KIRKLAND CIRCLE
759,11836 GONTRUM ROAD
789,1186 MILO RD
689,119 EASY GAP ROAD
208,1191 HOOKSETT RD.
346,1193 ROYVONNE AVE SE # 22
100,1198 PACIFIC COAST HWY D-331
434,12 INTERCHANGE DRIVE WEST
218,12 PETRA LANE
524,"12 POST OFFICE SQUARE, 6F"
795,120 LINDEN ST
774,120 MOUNTAIN AVE
132,120 STANLEY ST
157,1200 ROUTE 22E
97,1200 W SECOND ST
706,12000 INDIAN CREEK COURT STE B
812,1204 1ST AVENUE NE
368,12080 VALLEY BLVD
173,12113 KIRKHAM ROAD
426,122 WATER STREET
695,1220 S. MAIN STREET
560,1221 S MOPAC EXPY STE 100
623,12220 113TH AVE NE STE 210
655,1224 VETERANS BLVD
47,123 BANKER ST
852,123 BONNY LN
919,123 E CARLTON ST PO BOX 651
707,123 GLENWOOD DR
871,123 MAIN ST 9TH FL
278,12300 INWOOD ROAD STE 160
379,12330 JAMES STREET STE B40
474,1242 CARRABASSETT DRIVE
479,125 DONS WAY
882,125 DONS WAY
821,125 LAKE STREET WEST STE 212
413,"1250 H STREET NW, SUITE 1150"
21,126 S LYNNHAVEN ROAD
159,12603 FM 529
202,1261 EAST 289 TH STREET
559,12645 N SAGUARO BLVD # 5
139,12695 NE MARX STREET
461,127 CUSHNOC RD
701,127 N MAIN ST
321,13000 YOSEMITE AVE S
838,13125 PRESTWICK DR
39,133 WATER STREET
499,1335 LAKESIDE DR UNIT 6
329,134 SE RIO CASARANO PORT
856,13402 GLEN ERICA DRIVE
421,135 BARNHILL LANE
731,135-137 SPRING STREET
603,13595 12TH ST
436,13601 PROVIDENCE ROAD
594,13620 CRENSHAW BLVD.
460,1371 CLAGUE ROAD
136,13720 E 9 MILE RD
431,138 N BRAND BLVD STE 200
55,139 FULTON STREET # 501
108,13900 S LAKES DR STE F
430,14 BARBARA D LANE
765,14 FORDHAM RD
865,14 HILLAND DRIVE
160,14 WOOSTER STREET
260,140 HEAD TIDE ROAD
230,140 SHERMAN ST.
511,140 SOUTH SUNRISE WAY
360,1400 RESTFUL LN
616,14000 QUAILBROOK DR
757,14090 SOUTHWEST FRWY STE 300
672,"1411 BROADWAY, 4TH FLOOR"
668,1413 THOMPSON AVE SOUTH
885,1414 EAST MAPLE ROAD
61,1415 S LOS ANGELES STREET # A
172,142 WEST 26TH STREET
257,1423 S STATE COLLEGE BLVD
869,14233 O'CONNELL CT # 500
419,14275 COMMERCE DRIVE
515,144 GOULD STREET SUITE 152
710,1445 INGRID RD.
593,14504F LEE ROAD
296,1455 FOREST AVE
265,14647 DELAWARE STREET STE 1200
422,1466 OLD MILL RD
908,146A NORTH AVENUE
887,147 CALLS HILL ROAD
644,147 MAPLE ST.
23,147 SHERMAN STREET
88,14711 SINCLAIR CIR
191,1475 STAFFORD DRIVE
