ADDRESSES,SEQUENCE
123 main st,"[['DIGIT'], ['ALPHA'], ['WAY']]"
1217 iris ct,"[['DIGIT'], ['ALPHA'], ['WAY']]"
123 east main st,"[['DIGIT'], ['DIR'], ['ALPHA'], ['WAY']]"
310 W MAIN ST,"[['DIGIT'], ['DIR'], ['ALPHA'], ['WAY']]"
123 south main street.,"[['DIGIT'], ['DIR'], ['ALPHA'], ['WAY'], ['PERIOD']]"
90 south park rd,"[['DIGIT'], ['DIR'], ['ALPHA'], ['WAY']]"
987 el canyon ave,"[['DIGIT'], ['ARTI'], ['ALPHA'], ['WAY']]"
333 st james st,"[['DIGIT'], ['PRE'], ['ALPHA'], ['WAY']]"
123 west hill,"[['DIGIT'], ['DIR'], ['ALPHA']]"
77 el camino real,"[['DIGIT'], ['ARTI'], ['ALPHA'], ['ALPHA']]"
1 bay st # b,"[['DIGIT'], ['ALPHA'], ['WAY'], ['POUND'], ['LETTER']]"
1 bay rd # b,"[['DIGIT'], ['ALPHA'], ['WAY'], ['POUND'], ['LETTER']]"
43 HUDSON AVE # 2,"[['DIGIT'], ['ALPHA'], ['WAY'], ['POUND'], ['DIGIT']]"
111 san vicente blvd,"[['DIGIT'], ['PRE'], ['ALPHA'], ['WAY']]"
28 black watch way,"[['DIGIT'], ['ALPHA'], ['ALPHA'], ['WAY']]"
249 route 206,"[['DIGIT'], ['WAY'], ['DIGIT']]"
5500 lost tree,"[['DIGIT'], ['ALPHA'], ['ALPHA']]"
996 san benito st,"[['DIGIT'], ['PRE'], ['ALPHA'], ['WAY']]"
899 embarcadero,"[['DIGIT'], ['ALPHA']]"
177 montague e,"[['DIGIT'], ['ALPHA'], ['DIR']]"
2001 W COURT ST,"[['DIGIT'], ['DIR'], ['ALPHA'], ['WAY']]"
12545 S HIGHWAY J,"[['DIGIT'], ['DIR'], ['WAY'], ['LETTER']]"
437 S HIGHWAY 101 STE 501,"[['DIGIT'], ['DIR'], ['WAY'], ['DIGIT'], ['APT'], ['DIGIT']]"
12940 S HIGHWAY 259,"[['DIGIT'], ['DIR'], ['WAY'], ['DIGIT']]"
775 E 14 MILE RD,"[['DIGIT'], ['DIR'], ['DIGIT'], ['ALPHA'], ['WAY']]"
4701 VAN DAM ST,"[['DIGIT'], ['ALPHA'], ['ALPHA'], ['WAY']]"
3201 NEW MEXICO AVE NW STE 246,"[['DIGIT'], ['ALPHA'], ['ALPHA'], ['WAY'], ['DIR'], ['APT'], ['DIGIT']]"
111 RIO RANCHO BLVD SE,"[['DIGIT'], ['ALPHA'], ['ALPHA'], ['WAY'], ['DIR']]"
17259 WILD HORSE CREEK RD,"[['DIGIT'], ['ALPHA'], ['ALPHA'], ['ALPHA'], ['WAY']]"
12587 FAIR LAKES CIR STE 141,"[['DIGIT'], ['ALPHA'], ['ALPHA'], ['WAY'], ['APT'], ['DIGIT']]"
107 E MARIPOSA DR,"[['DIGIT'], ['DIR'], ['ALPHA'], ['WAY']]"
