,ADDRESSES,ADDRESS,POBOX,SUITE,ATTN,BEST FIT
0,# 115,,,# 115,,"[[0, 2, 2, ['SUITE'], '# 115']]"
1,#1 AVENUE D,#1 AVENUE D,,,,"[[0, 3, 3, ['ADDRESS'], '#1 avenue d']]"
2,#1 COOL BLOW STREET SUITE 201,#1 COOL BLOW STREET,,SUITE 201,,"[[0, 4, 4, ['ADDRESS'], '#1 cool blow street'], [4, 6, 2, ['SUITE'], 'suite 201']]"
3,#1 FINE ARTS DRIVE,#1 FINE ARTS DRIVE,,,,"[[0, 4, 4, ['ADDRESS'], '#1 fine arts drive']]"
4,#1 PLEASANT VALLEY DRIVE,#1 PLEASANT VALLEY DRIVE,,,,"[[0, 4, 4, ['ADDRESS'], '#1 pleasant valley drive']]"
5,#1 ROBERT SMITH DRIVE,#1 ROBERT SMITH DRIVE,,,,"[[0, 4, 4, ['ADDRESS'], '#1 robert smith drive']]"
6,#1 SOUTH MAIN STREET,#1 SOUTH MAIN STREET,,,,"[[0, 4, 4, ['ADDRESS'], '#1 south main street']]"
7,#1 SOUTHTOWNE DRIVE,#1 SOUTHTOWNE DRIVE,,,,"[[0, 3, 3, ['ADDRESS'], '#1 southtowne drive']]"
8,#1 SUNWEST CENTRE P O BOX 1933,#1 SUNWEST CENTRE,P O BOX 1933,,,"[[0, 3, 3, ['ADDRESS'], '#1 sunwest centre'], [3, 7, 4, ['POBOX'], 'p o box 1933']]"
9,#1 TIMERBROOKE DR,#1 TIMERBROOKE DR,,,,"[[0, 3, 3, ['ADDRESS'], '#1 timerbrooke dr']]"
10,#10 SHACKLEFORD PLAZA SUITE 102,#10 SHACKLEFORD PLAZA,,SUITE 102,,"[[0, 3, 3, ['ADDRESS'], '#10 shackleford plaza'], [3, 5, 2, ['SUITE'], 'suite 102']]"
11,#113 417 WELSHWOOD DRIVE,#113 417 WELSHWOOD DRIVE,,,,"[[0, 4, 4, ['ADDRESS'], '#113 417 welshwood drive']]"
12,#154 327 E RIDGEVILLE BLVD,327 E RIDGEVILLE BLVD,,#154,,"[[0, 1, 1, ['SUITE'], '#154'], [1, 5, 4, ['ADDRESS'], '327 e ridgeville blvd']]"
